"BIN Master Name","BIN Master Id","Area","Floor","BIN Type","Max Quantity","Stock","Type","Dynamic_Flag","Hazardous_Flag","Division","Material Name","Remarks"
"1004-4231","1-TM-BIN_MASTER-93","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-4395","1-TM-BIN_MASTER-94","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1004-BOX)","1-TM-BIN_MASTER-95","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0100","1-TM-BIN_MASTER-96","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"10050100(Box)","1-TM-BIN_MASTER-97","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0111","1-TM-BIN_MASTER-98","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0131","1-TM-BIN_MASTER-99","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0151","1-TM-BIN_MASTER-100","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0191","1-TM-BIN_MASTER-101","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0200","1-TM-BIN_MASTER-102","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0201","1-TM-BIN_MASTER-103","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0211","1-TM-BIN_MASTER-104","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0213","1-TM-BIN_MASTER-105","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0221","1-TM-BIN_MASTER-106","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0231","1-TM-BIN_MASTER-107","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0251","1-TM-BIN_MASTER-108","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0271","1-TM-BIN_MASTER-109","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0291","1-TM-BIN_MASTER-110","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0300","1-TM-BIN_MASTER-111","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0301","1-TM-BIN_MASTER-112","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0303","1-TM-BIN_MASTER-113","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0305","1-TM-BIN_MASTER-114","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0307","1-TM-BIN_MASTER-115","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0311","1-TM-BIN_MASTER-116","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0313","1-TM-BIN_MASTER-117","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0315","1-TM-BIN_MASTER-118","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0317","1-TM-BIN_MASTER-119","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0321","1-TM-BIN_MASTER-120","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0323","1-TM-BIN_MASTER-121","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0325","1-TM-BIN_MASTER-122","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0327","1-TM-BIN_MASTER-123","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0331","1-TM-BIN_MASTER-124","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0333","1-TM-BIN_MASTER-125","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0335","1-TM-BIN_MASTER-126","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0337","1-TM-BIN_MASTER-127","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0341","1-TM-BIN_MASTER-128","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0343","1-TM-BIN_MASTER-129","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0345","1-TM-BIN_MASTER-130","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0347","1-TM-BIN_MASTER-131","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0351","1-TM-BIN_MASTER-132","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0353","1-TM-BIN_MASTER-133","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0355","1-TM-BIN_MASTER-134","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0357","1-TM-BIN_MASTER-135","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0361","1-TM-BIN_MASTER-136","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0363","1-TM-BIN_MASTER-137","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0365","1-TM-BIN_MASTER-138","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0367","1-TM-BIN_MASTER-139","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0373","1-TM-BIN_MASTER-140","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0375","1-TM-BIN_MASTER-141","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0377","1-TM-BIN_MASTER-142","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0381","1-TM-BIN_MASTER-143","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0383","1-TM-BIN_MASTER-144","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0385","1-TM-BIN_MASTER-145","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0387","1-TM-BIN_MASTER-146","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0391","1-TM-BIN_MASTER-147","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0393","1-TM-BIN_MASTER-148","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0395","1-TM-BIN_MASTER-149","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0397","1-TM-BIN_MASTER-150","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0400","1-TM-BIN_MASTER-151","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0401","1-TM-BIN_MASTER-152","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0405","1-TM-BIN_MASTER-153","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0411","1-TM-BIN_MASTER-154","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0415","1-TM-BIN_MASTER-155","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0421","1-TM-BIN_MASTER-156","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0425","1-TM-BIN_MASTER-157","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
"1005-0431","1-TM-BIN_MASTER-158","Spare Parts","Ground","Medium","999999","99999","Generic","","","1-J30J21"
